,temperature,liq_benzene,vap_benzene
0,365.5,0.49076876,0.7062348159999999
1,365.61764710000006,0.486783157,0.7028413659999999
2,365.73529410000003,0.482811882,0.699435593
3,365.8529412,0.478854926,0.6960175209999999
4,365.97058819999995,0.474912206,0.692587106
5,366.0882353,0.47098364299999995,0.689144305
6,366.20588239999995,0.467069157,0.685689075
7,366.3235294,0.46316866700000003,0.682221372
8,366.44117650000004,0.45928209299999995,0.6787411520000001
9,366.55882349999996,0.455409357,0.675248373
10,366.6764706,0.451550379,0.67174299
11,366.79411760000005,0.44770508,0.66822496
12,366.9117647,0.44387338299999995,0.6646942379999999
13,367.02941180000005,0.440055209,0.66115078
14,367.1470588,0.43625048,0.657594544
15,367.26470589999997,0.432459119,0.654025483
16,367.38235289999994,0.42868104799999995,0.650443554
17,367.5,0.424916191,0.646848713
18,367.61764710000006,0.421164472,0.643240915
19,367.73529410000003,0.417425813,0.639620114
20,367.8529412,0.41370013899999997,0.635986268
21,367.97058819999995,0.409987375,0.63233933
22,368.0,0.409061127,0.631425502
23,368.0882353,0.406287445,0.628679255
24,368.20588239999995,0.40260027299999995,0.625005998
