,S042_Fm,S042_F,S042_h,S042_T,S042_P,B002_Fm,B002_F,B002_h,B002_T,B002_P,G012_Fm,G012_F,G012_T,G012_P,G012_F[O2],G012_F[NO],G012_F[N2],G012_F[SO2],G012_F[CO2],G012_F[H2O],G013_Fm,G013_F,G013_T,G013_P,G013_F[O2],G013_F[NO],G013_F[N2],G013_F[SO2],G013_F[CO2],G013_F[H2O],ECON_Q,termination,bin_no,bin_power
0,421.07616535679597,23373.278980776093,15311.522916164198,470.23901839862816,25073970.49950223,421.07616535679597,23373.278980776093,19885.033133189292,526.6807265391247,24471663.291358925,455.61822749712945,15374.75580982088,692.7726649355661,100022.13884545938,379.7564685025758,9.224853485892528,11391.15657949629,30.74951161964176,2227.8021168430455,1336.0662798734343,455.61822749712945,15374.75580982088,482.8120437376684,100417.91667183892,379.7564685025758,9.224853485892528,11391.15657949629,30.74951161964176,2227.8021168430455,1336.0662798734343,106897930.22380055,optimal,24.0,572500000.0
1,418.4490979813337,23227.454581962294,15424.164980312327,471.6699163155266,25075306.109626044,418.4490979813337,23227.454581962294,20213.642351872735,530.571392500465,24470889.840078473,456.1774289210129,15393.6259621147,711.4506858631983,99592.70111436988,380.22256126423315,9.236175577268819,11405.137475330783,30.787251924229402,2230.53640191042,1337.7060961077673,456.1774289210129,15393.6259621147,494.12843501112553,99677.4428492435,380.22256126423315,9.236175577268819,11405.137475330783,30.787251924229402,2230.53640191042,1337.7060961077673,111247368.11919728,optimal,24.0,572500000.0
2,433.0543186959711,24038.167527563885,15511.073123213135,472.77296936097565,25074051.627513748,433.0543186959711,24038.167527563885,20106.26553823873,529.3028743843231,24470872.810702503,459.74271216685827,15513.935809240082,701.0989384350289,100399.58951793434,383.19421448823005,9.308361485544049,11494.275041065977,31.027871618480162,2247.969298758888,1348.161021822963,459.74271216685827,15513.935809240082,486.44846193000427,99458.58507320263,383.19421448823005,9.308361485544049,11494.275041065977,31.027871618480162,2247.969298758888,1348.161021822963,110460005.09377593,optimal,24.0,572500000.0
3,417.36476421400084,23167.26491145299,15395.632427352395,471.3075533115669,25075664.894492988,417.36476421400084,23167.26491145299,19920.537691080317,527.1024018399808,24468244.441285584,459.5079066508034,15506.012338987428,690.2052051374424,100953.0491953047,382.9985047729895,9.303607403392457,11488.404541955786,31.012024677974857,2246.821187919278,1347.4724722580074,459.5079066508034,15506.012338987428,486.0665018115305,99567.49122779729,382.9985047729895,9.303607403392457,11488.404541955786,31.012024677974857,2246.821187919278,1347.4724722580074,104829678.94399855,optimal,24.0,572500000.0
4,405.68713754647985,22519.05812990305,15421.732550340234,471.6392466785934,25073360.042121273,405.68713754647985,22519.05812990305,19897.174988452418,526.8249389675882,24471398.38957562,458.495869053258,15471.861310794164,693.0091993441067,99794.11845290835,382.15497437661594,9.283116786476498,11463.102045167396,30.943722621588332,2241.8727039340747,1344.5047479080129,458.495869053258,15471.861310794164,496.68313939745974,100871.28222292464,382.15497437661594,9.283116786476498,11463.102045167396,30.943722621588332,2241.8727039340747,1344.5047479080129,100782748.42087568,optimal,24.0,572500000.0
5,420.5365806149609,23343.327476173607,14954.870296689196,465.69668677432975,25073878.012182716,420.5365806149609,23343.327476173607,19754.965428188647,525.13385864248,24470805.959441517,457.43128093903414,15435.936974790005,708.0676394371741,100607.09700050742,381.26764327731314,9.261562184874002,11436.485704621913,30.871873949580007,2236.667267647071,1341.3829231092511,457.43128093903414,15435.936974790005,489.5347429849698,99863.95056882237,381.26764327731314,9.261562184874002,11436.485704621913,30.871873949580007,2236.667267647071,1341.3829231092511,112050192.57137826,optimal,24.0,572500000.0
6,418.1827385291681,23212.669385608664,15471.499007510141,472.2708475897532,25074356.551057696,418.1827385291681,23212.669385608664,20036.23718828764,528.4741209323049,24470458.12251381,458.0975028617919,15458.418514727102,699.7338013735877,99659.34753763261,381.8229373137595,9.275051108836262,11453.14227756131,30.916837029454207,2239.9248427839575,1343.3365689297852,458.0975028617919,15458.418514727102,493.2419172446481,100498.89195866953,381.8229373137595,9.275051108836262,11453.14227756131,30.916837029454207,2239.9248427839575,1343.3365689297852,105959758.22223768,optimal,24.0,572500000.0
7,406.21540862830113,22548.38163094335,15031.423010550552,466.67286232941035,25075850.71051998,406.21540862830113,22548.38163094335,19884.62699384927,526.6759207923512,24471018.672239374,455.51499196926306,15371.272145349063,697.8728046227747,99539.9865854185,379.67042199012195,9.222763287209439,11388.575532489122,30.74254429069813,2227.2973338610796,1335.7635494308336,455.51499196926306,15371.272145349063,483.04855407759567,100251.33059638082,379.67042199012195,9.222763287209439,11388.575532489122,30.74254429069813,2227.2973338610796,1335.7635494308336,109431895.54823388,optimal,24.0,572500000.0
8,428.5834777848828,23789.998145179135,15346.186927444896,470.6796222610211,25073660.352499366,428.5834777848828,23789.998145179135,19578.656756642493,523.0308516960142,24472075.10618782,455.172579916161,15359.717511699517,695.5406727087079,100455.38264581998,379.38502253897815,9.21583050701971,11380.014704418172,30.719435023399033,2225.62306744526,1334.7594517666878,455.172579916161,15359.717511699517,498.0709795165049,100194.43691067726,379.38502253897815,9.21583050701971,11380.014704418172,30.719435023399033,2225.62306744526,1334.7594517666878,100690449.38611056,optimal,24.0,572500000.0
9,394.91445508378047,21921.083384980997,14701.88888767362,462.4644227115618,25075316.179461062,394.91445508378047,21921.083384980997,19748.50788699373,525.0569688321686,24470485.412737254,460.6395752543201,15544.200294136386,701.9715197231634,100198.76005252993,383.9417472651688,9.326520176481832,11516.697997925648,31.088400588272773,2252.354622620362,1350.7910055604518,460.6395752543201,15544.200294136386,487.47095405825337,99707.61342307007,383.9417472651688,9.326520176481832,11516.697997925648,31.088400588272773,2252.354622620362,1350.7910055604518,110627355.89632547,optimal,24.0,572500000.0
