,BFW_Fm,BFW_F,BFW_h,BFW_T,BFW_P,ECON_OUT_Fm,ECON_OUT_F,ECON_OUT_h,ECON_OUT_T,ECON_OUT_P,FG_2_ECON_Fm,FG_2_ECON_F,FG_2_ECON_T,FG_2_ECON_P,FG_2_ECON_F[O2],FG_2_ECON_F[NO],FG_2_ECON_F[N2],FG_2_ECON_F[SO2],FG_2_ECON_F[CO2],FG_2_ECON_F[H2O],FG_2_AIRPH_Fm,FG_2_AIRPH_F,FG_2_AIRPH_T,FG_2_AIRPH_P,FG_2_AIRPH_F[O2],FG_2_AIRPH_F[NO],FG_2_AIRPH_F[N2],FG_2_AIRPH_F[SO2],FG_2_AIRPH_F[CO2],FG_2_AIRPH_F[H2O],ECON_Q,termination,bin_no,bin_power
265,331.14373882844376,18381.270722877674,15670.442925052339,475.3883695507918,19365839.65454042,331.14373882844376,18381.270722877674,23035.26375266909,562.3721415444271,18851223.385543205,459.6596858193686,15511.134099954996,758.4788265603935,99840.78001023301,383.12501226888844,9.306680459972995,11492.199254656656,31.02226819990999,2247.5633310834787,1347.917553286089,459.6596858193686,15511.134099954996,497.8839950420538,99939.4932000856,383.12501226888844,9.306680459972995,11492.199254656656,31.02226819990999,2247.5633310834787,1347.917553286089,135374765.45791146,optimal,2.0,462500000.0
266,318.5869170259158,17684.26119526956,15329.608937975478,471.0916176477194,19369216.14537126,318.5869170259158,17684.26119526956,23043.180668608136,562.4573445886728,18849986.60361609,461.47497110342357,15572.390578039342,763.5423242241425,100924.65530225154,384.63804727757173,9.343434346823603,11537.584179269348,31.144781156078682,2256.4393947579006,1353.2407412316186,461.47497110342357,15572.390578039342,502.33351355997485,100656.01219884171,384.63804727757173,9.343434346823603,11537.584179269348,31.144781156078682,2256.4393947579006,1353.2407412316186,136408817.23368123,optimal,2.0,462500000.0
267,305.11875373881315,16936.66452804581,15786.582948896148,476.8482794611325,19366822.716690164,305.11875373881315,16936.66452804581,23171.016904446245,563.8317793118484,18850935.63590662,455.70156796627515,15377.568119085214,756.9760104337678,100431.6227000041,379.8259325414048,9.226540871451128,11393.240219430236,30.755136238170433,2228.2096204554477,1336.310669548505,455.70156796627515,15377.568119085214,514.6417996706014,99346.74604000313,379.8259325414048,9.226540871451128,11393.240219430236,30.755136238170433,2228.2096204554477,1336.310669548505,125067680.63463211,optimal,2.0,462500000.0
268,309.76157778110183,17194.38042490052,16033.250821483978,479.94218607437085,19367331.813159235,309.76157778110183,17194.38042490052,23524.716400521334,567.6021121547292,18850922.190424036,457.861622618734,15450.458778003447,755.2511915241813,99719.97616457294,381.6263318166852,9.270275266802068,11447.244908622753,30.900917556006892,2238.7714769326994,1342.6448678084992,457.861622618734,15450.458778003447,506.50172912385796,99450.15432000931,381.6263318166852,9.270275266802068,11447.244908622753,30.900917556006892,2238.7714769326994,1342.6448678084992,128811109.10601625,optimal,2.0,462500000.0
269,327.32409153318633,18169.24807902993,15297.27625310087,470.68328244852194,19368026.633350484,327.32409153318633,18169.24807902993,22484.64756154195,556.3833094682385,18850663.63284915,454.2654890556817,15329.107892427262,757.0118521662945,99816.54787000413,378.62896494295336,9.197464735456355,11357.336037499357,30.658215784854523,2221.18773361271,1332.0994758519287,454.2654890556817,15329.107892427262,502.7634117045132,99340.47862000314,378.62896494295336,9.197464735456355,11357.336037499357,30.658215784854523,2221.18773361271,1332.0994758519287,130589132.33851853,optimal,2.0,462500000.0
270,301.33843378006344,16726.824883102756,15601.969736446757,474.5459683138112,19177666.54783987,301.33843378006344,16726.824883102756,23426.0422343433,566.5350535471615,18662577.52390442,452.70481196420064,15276.443122382138,758.4571050792531,100051.37050934795,377.3281451228388,9.165865873429283,11318.316709372926,30.552886244764274,2213.5566084331717,1327.5229073350076,452.70481196420064,15276.443122382138,502.83349332783723,100375.87166487587,377.3281451228388,9.165865873429283,11318.316709372926,30.552886244764274,2213.5566084331717,1327.5229073350076,130871890.54741177,optimal,1.0,457500000.0
271,325.45400563332475,18065.44253729749,15526.911832296068,473.600857346597,19176606.15607093,325.45400563332475,18065.44253729749,22602.180981276233,557.6574707263305,18664364.348128457,453.56104378470235,15305.336512423024,754.6282082269793,99354.65183000226,378.0418118568487,9.183201907453814,11339.723822054219,30.610673024846047,2217.743260650096,1330.0337429295607,453.56104378470235,15305.336512423024,505.3968118620265,99664.4615100008,378.0418118568487,9.183201907453814,11339.723822054219,30.610673024846047,2217.743260650096,1330.0337429295607,127817868.24681473,optimal,1.0,457500000.0
272,293.9148855778256,16314.755339790754,15164.605448005188,469.02671612880215,19174934.54368869,293.9148855778256,16314.755339790754,23279.472611934103,564.97424174816,18663198.450201713,457.69271838218356,15444.759134671633,756.8891506628286,100404.11011484706,381.48555062638934,9.26685548080298,11443.022042878212,30.889518269343263,2237.9455986139196,1342.1495688029647,457.69271838218356,15444.759134671633,500.9938371571945,100255.32849664066,381.48555062638934,9.26685548080298,11443.022042878212,30.889518269343263,2237.9455986139196,1342.1495688029647,132392072.3976418,optimal,1.0,457500000.0
273,319.58953624426465,17739.91501904298,15992.645760584319,479.4518391608923,19178459.469080146,319.58953624426465,17739.91501904298,23564.63739992869,568.0033991655554,18663313.26817361,458.5360401800172,15473.216878300585,760.4534572709302,100404.37470000224,382.1884568940245,9.283930126980351,11464.106385132905,30.946433756601174,2242.069125665755,1344.622546724321,458.5360401800172,15473.216878300585,501.44078774254575,100115.12080000079,382.1884568940245,9.283930126980351,11464.106385132905,30.946433756601174,2242.069125665755,1344.622546724321,134326488.20687056,optimal,1.0,457500000.0
274,306.41487453471785,17008.610165077524,15566.667406826757,474.10157885108066,19176938.512564912,306.41487453471785,17008.610165077524,23539.74634959877,567.7401114646286,18661971.504751895,459.7962231241907,15515.741526949525,762.807488284202,99898.63560664053,383.23881571565335,9.309444916169715,11495.612897316905,31.031483053899052,2248.2309472549864,1348.3179386919137,459.7962231241907,15515.741526949525,502.1450238535073,99517.29951622509,383.23881571565335,9.309444916169715,11495.612897316905,31.031483053899052,2248.2309472549864,1348.3179386919137,135610991.55327097,optimal,1.0,457500000.0
