,econ2ww_Fm,econ2ww_F,econ2ww_h,econ2ww_T,econ2ww_P,ww2prsh_Fm,ww2prsh_F,ww2prsh_h,ww2prsh_T,ww2prsh_P,prsh2plsh_Fm,prsh2plsh_F,prsh2plsh_h,prsh2plsh_T,prsh2plsh_P,plsh2fsh_Fm,plsh2fsh_F,plsh2fsh_h,plsh2fsh_T,plsh2fsh_P,FSHtoATMP1_Fm,FSHtoATMP1_F,FSHtoATMP1_h,FSHtoATMP1_T,FSHtoATMP1_P,fg_fsh2_separator_Fm,fg_fsh2_separator_F,fg_fsh2_separator_T,fg_fsh2_separator_P,fg_fsh2_separator_F[O2],fg_fsh2_separator_F[NO],fg_fsh2_separator_F[N2],fg_fsh2_separator_F[SO2],fg_fsh2_separator_F[CO2],fg_fsh2_separator_F[H2O],fg_fsh2rh_Fm,fg_fsh2rh_F,fg_fsh2rh_T,fg_fsh2rh_P,fg_fsh2rh_F[O2],fg_fsh2rh_F[NO],fg_fsh2rh_F[N2],fg_fsh2rh_F[SO2],fg_fsh2rh_F[CO2],fg_fsh2rh_F[H2O],fg_fsh2PrSH_Fm,fg_fsh2PrSH_F,fg_fsh2PrSH_T,fg_fsh2PrSH_P,fg_fsh2PrSH_F[O2],fg_fsh2PrSH_F[NO],fg_fsh2PrSH_F[N2],fg_fsh2PrSH_F[SO2],fg_fsh2PrSH_F[CO2],fg_fsh2PrSH_F[H2O],fg_rhtomix_Fm,fg_rhtomix_F,fg_rhtomix_T,fg_rhtomix_P,fg_rhtomix_F[O2],fg_rhtomix_F[NO],fg_rhtomix_F[N2],fg_rhtomix_F[SO2],fg_rhtomix_F[CO2],fg_rhtomix_F[H2O],fg_prsh2mix_Fm,fg_prsh2mix_F,fg_prsh2mix_T,fg_prsh2mix_P,fg_prsh2mix_F[O2],fg_prsh2mix_F[NO],fg_prsh2mix_F[N2],fg_prsh2mix_F[SO2],fg_prsh2mix_F[CO2],fg_prsh2mix_F[H2O],fg_mix2econ_Fm,fg_mix2econ_F,fg_mix2econ_T,fg_mix2econ_P,fg_mix2econ_F[O2],fg_mix2econ_F[NO],fg_mix2econ_F[N2],fg_mix2econ_F[SO2],fg_mix2econ_F[CO2],fg_mix2econ_F[H2O],MS_Fm,MS_F,MS_h,MS_T,MS_P,ATMP_In_Fm,ATMP_In_F,ATMP_In_h,ATMP_In_T,ATMP_In_P,FSH_In_Fm,FSH_In_F,FSH_In_h,FSH_In_T,FSH_In_P,PrSH_IN_Fm,PrSH_IN_F,PrSH_IN_h,PrSH_IN_T,PrSH_IN_P,RHT_COLD_Fm,RHT_COLD_F,RHT_COLD_h,RHT_COLD_T,RHT_COLD_P,RHT_HOT_Fm,RHT_HOT_F,RHT_HOT_h,RHT_HOT_T,RHT_HOT_P,PlatenSH_IN_Fm,PlatenSH_IN_F,PlatenSH_IN_h,PlatenSH_IN_T,PlatenSH_IN_P,BFW_Fm,BFW_F,BFW_h,BFW_T,BFW_P,ECON_OUT_Fm,ECON_OUT_F,ECON_OUT_h,ECON_OUT_T,ECON_OUT_P,FG_2_FSH_Fm,FG_2_FSH_F,FG_2_FSH_T,FG_2_FSH_P,FG_2_FSH_F[O2],FG_2_FSH_F[NO],FG_2_FSH_F[N2],FG_2_FSH_F[SO2],FG_2_FSH_F[CO2],FG_2_FSH_F[H2O],coal_flow,stoich_ratio,termination,bin_no,bin_power
144,437.0610877754129,24260.577008817672,20260.78545794847,531.0890859472304,26293201.940774724,437.0610877754129,24260.577008817672,40069.17616763137,663.7804085805734,26293201.940774724,437.0610877754129,24260.577008817672,44752.62828611719,672.3288585772009,26160040.971340608,437.0610877754129,24260.577008817672,48120.34355907597,687.0471816596203,26160040.971340608,437.0610877754129,24260.577008817672,54363.872458423306,741.7081177453464,26022502.976473637,565.4643553462325,18267.836963426198,1243.1566302868746,100144.99975167414,537.3680325080215,3.408109174208894,12874.27270417242,19.647198935827245,3815.6316534149387,1017.5092652207883,320.7011296194365,10360.53978378058,1243.1566302868746,100144.99975167414,304.7663984782528,1.9328971874203036,7301.598695339019,11.142840097709849,2164.0221348922946,577.076817785883,244.76322572679592,7907.297179645623,1243.1566302868746,100144.99975167414,232.60163402976872,1.4752119867885907,5572.674008833399,8.504358838117396,1651.6095185226438,440.4324474349052,320.7011296194365,10360.53978378058,605.8229000749303,100144.99911868005,304.7663984782528,1.9328971874203036,7301.598695339019,11.142840097709849,2164.0221348922946,577.076817785883,244.76322572679592,7907.297179645623,866.1427548918377,100144.99957241317,232.60163402976872,1.4752119867885907,5572.674008833399,8.504358838117396,1651.6095185226438,440.4324474349052,565.4643553462325,18267.836963426198,720.7994489103279,100144.99879688754,537.3680325080215,3.4081091742088945,12874.27270417242,19.647198935827245,3815.6316534149387,1017.5092652207883,437.06110579069286,24260.578008817673,54363.87116811725,741.7081021987843,26022502.976473555,437.0610877754129,24260.577008817672,54363.872458423306,741.7081177453464,26022502.976473637,437.0610877754129,24260.577008817672,48120.34355907597,687.0471816596203,26160040.971340608,437.0610877754129,24260.577008817672,40069.17616763137,663.7804085805734,26293201.940774724,382.55933492560007,21235.27,54120.44759050703,584.9526299831729,3677172.33638,382.55933492560007,21235.27,65638.02548387444,856.5977991933341,3218011.4961754433,437.0610877754129,24260.577008817672,44752.62828611719,672.3288585772009,26160040.971340608,437.0610877754129,24260.577008817672,14527.938772065641,460.01127806923256,26922915.997567706,437.0610877754129,24260.577008817672,20260.78545794847,531.0890859472304,26293201.940774724,565.4643553462325,18267.836963426198,1451.1163497063094,100145,537.3680325080215,3.408109174208894,12874.27270417242,19.647198935827245,3815.6316534149387,1017.5092652207883,48.9051236742282,1.2374996805145841,optimal,10.0,522500000.0
145,446.2055900662559,24768.17402040134,19447.32567875432,521.3864014376323,26296619.85630197,446.2055900662559,24768.17402040134,38724.72272954799,662.2887411472962,26296619.85630197,446.2055900662559,24768.17402040134,44085.17243460468,670.4107525273655,26162889.118406903,446.2055900662559,24768.17402040134,47356.84278536274,682.9110523476381,26162889.118406903,446.2055900662559,24768.17402040134,53335.325368331054,729.8627855981347,26024784.207020756,558.9122704017041,18056.906700654043,1242.062672340926,100144.99945990744,525.1186964205383,3.330421123985891,12731.72206964194,19.19933987391143,3772.00559037677,1005.5305832168949,327.5436778357203,10582.028601407945,1242.062672340926,100144.99945990744,307.7393684741679,1.951752433182573,7461.269492035849,11.251537544164513,2210.5375911695805,589.2788597509993,231.36859256598402,7474.878099246097,1242.062672340926,100144.99945990744,217.37932794637044,1.378668690803318,5270.452577606092,7.947802329746918,1561.46799920719,416.2517234658956,327.5436778357203,10582.028601407945,605.5496145890404,100144.99836834203,307.7393684741679,1.951752433182573,7461.269492035849,11.251537544164513,2210.5375911695805,589.2788597509993,231.36859256598402,7474.878099246097,771.4420466165641,100144.9983691197,217.37932794637044,1.378668690803318,5270.452577606092,7.947802329746918,1561.46799920719,416.2517234658956,558.9122704017041,18056.906700654043,675.1893425310385,100144.99786873072,525.1186964205383,3.3304211239858916,12731.722069641943,19.19933987391143,3772.00559037677,1005.5305832168949,446.2056080815359,24768.17502040134,53335.32414599541,729.8627721523014,26024784.207020804,446.2055900662559,24768.17402040134,53335.325368331054,729.8627855981347,26024784.207020756,446.2055900662559,24768.17402040134,47356.84278536274,682.9110523476381,26162889.118406903,446.2055900662559,24768.17402040134,38724.72272954799,662.2887411472962,26296619.85630197,382.55933492560007,21235.27,54168.10733875488,585.9588991654019,3677172.33638,382.55933492560007,21235.27,65914.93650480217,863.3612077182622,3217614.0514899488,446.2055900662559,24768.17402040134,44085.17243460468,670.4107525273655,26162889.118406903,446.2055900662559,24768.17402040134,14766.915478267973,463.0753696151276,26923112.825687036,446.2055900662559,24768.17402040134,19447.32567875432,521.3864014376323,26296619.85630197,558.9122704017041,18056.906700654043,1447.794067232725,100145,525.1186964205383,3.330421123985891,12731.72206964194,19.19933987391143,3772.00559037677,1005.5305832168949,48.34858725839874,1.237216718751688,optimal,10.0,522500000.0
146,445.04382944791536,24703.686506560836,18682.822994280392,512.1383492113181,26295296.302779507,445.04382944791536,24703.686506560836,38163.48779105732,661.6456904134488,26295296.302779507,445.04382944791536,24703.686506560836,44036.49842366964,670.2783978618385,26162368.90365021,445.04382944791536,24703.686506560836,47349.93088365681,682.8733827064216,26162368.90365021,445.04382944791536,24703.686506560836,54042.14486456582,737.8963151903256,26025274.6055328,565.8151893707491,18277.839756024536,1224.6130595235552,100111.85323459144,538.4487567839409,3.4149633711404843,12879.691074983479,19.686712274096855,3819.4572153242025,1017.1410332876779,339.46212173585246,10965.831919832808,1224.6130595235552,100111.85323459144,323.043567683622,2.0488151138303694,7727.200226771147,11.811088221227134,2291.4921241955135,610.2360978474687,226.3530676348966,7312.007836191729,1224.6130595235552,100111.85323459144,215.40518910031898,1.366148257310115,5152.490848212332,7.875624052869722,1527.9650911286894,406.9049354402092,339.46212173585246,10965.831919832808,598.5160793224595,100081.8409755008,323.043567683622,2.0488151138303694,7727.200226771147,11.811088221227134,2291.4921241955135,610.2360978474687,226.3530676348966,7312.007836191729,693.5106081513381,100102.54316614363,215.40518910031898,1.366148257310115,5152.490848212332,7.875624052869722,1527.9650911286894,406.9049354402092,565.8151893707491,18277.839756024536,636.8431046192226,100081.84097548873,538.448756783941,3.4149633711404843,12879.691074983479,19.686712274096855,3819.457215324203,1017.1410332876779,445.04384746319533,24703.687506560836,54042.14361042741,737.8963004876605,26025274.605532736,445.04382944791536,24703.686506560836,54042.14486456582,737.8963151903256,26025274.6055328,445.04382944791536,24703.686506560836,47349.93088365681,682.8733827064216,26162368.90365021,445.04382944791536,24703.686506560836,38163.48779105732,661.6456904134488,26295296.302779507,382.55933492560007,21235.27,53998.57418038822,582.3912322565945,3677172.33638,382.55933492560007,21235.27,65942.26824660972,864.0213778886963,3215621.6877017766,445.04382944791536,24703.686506560836,44036.49842366964,670.2783978618385,26162368.90365021,445.04382944791536,24703.686506560836,15148.902163687055,467.9583283061732,26922162.739458878,445.04382944791536,24703.686506560836,18682.822994280392,512.1383492113181,26295296.302779507,565.8151893707491,18277.839756024536,1451.721677840931,100145,538.4487567839409,3.4149633711404843,12879.691074983479,19.686712274096855,3819.4572153242025,1017.1410332876779,48.97666109027082,1.236374841875499,optimal,10.0,522500000.0
147,479.74086735797545,26629.66478222794,19688.53522311946,524.2788364064379,26295684.55723779,479.74086735797545,26629.66478222794,38304.49648634279,661.8107175139456,26295684.55723779,479.74086735797545,26629.66478222794,43615.2228418328,669.207257263147,26161796.448810283,479.74086735797545,26629.66478222794,46807.82679175036,680.2340260120836,26161796.448810283,479.74086735797545,26629.66478222794,53962.507955184105,736.9582859536779,26023569.359428614,596.3611171944051,19259.79171240299,1218.8198351971216,100144.9998727355,597.8366856460856,3.7916150008395753,13540.16597408214,21.858048085227185,4024.013530954244,1072.1258586344522,338.6383040518312,10936.499737882055,1218.8198351971216,100144.9998727355,339.4761923439815,2.153034523012412,7688.661634438467,12.411896282385937,2284.9999410000946,608.7970392941144,257.72281314257395,8323.291974520935,1218.8198351971216,100144.9998727355,258.3604933021042,1.6385804778271638,5851.504339643674,9.44615180284125,1739.01358995415,463.32881934033793,338.6383040518312,10936.499737882055,603.7757435661058,100144.99961748593,339.4761923439815,2.153034523012412,7688.661634438467,12.411896282385937,2284.9999410000946,608.7970392941144,257.72281314257395,8323.291974520935,767.5656533207799,100144.99961756273,258.3604933021042,1.6385804778271638,5851.504339643674,9.44615180284125,1739.01358995415,463.32881934033793,596.3611171944052,19259.79171240299,675.513480305055,100144.99911752432,597.8366856460857,3.7916150008395757,13540.165974082141,21.85804808522719,4024.0135309542447,1072.1258586344522,479.7408853732554,26629.66578222794,53962.50679474121,736.958272443108,26023569.35942862,479.74086735797545,26629.66478222794,53962.507955184105,736.9582859536779,26023569.359428614,479.74086735797545,26629.66478222794,46807.82679175036,680.2340260120836,26161796.448810283,479.74086735797545,26629.66478222794,38304.49648634279,661.8107175139456,26295684.55723779,382.55933492560007,21235.27,53913.35619607603,580.6105074562093,3677172.33638,382.55933492560007,21235.27,65616.9407894869,856.0841223407306,3218469.4708779706,479.74086735797545,26629.66478222794,43615.2228418328,669.207257263147,26161796.448810283,479.74086735797545,26629.66478222794,14948.187925554115,465.3948306320387,26923375.631504517,479.74086735797545,26629.66478222794,19688.53522311946,524.2788364064379,26295684.55723779,596.3611171944051,19259.79171240299,1467.048324700302,100145,597.8366856460856,3.7916150008395753,13540.16597408214,21.858048085227185,4024.013530954244,1072.1258586344522,51.60605214132266,1.236767416015582,optimal,10.0,522500000.0
148,450.5919860261029,25011.655995693814,19810.84723402411,525.7407152751275,26293454.752195995,450.5919860261029,25011.655995693814,38950.18630320156,662.5282582424848,26293454.752195995,450.5919860261029,25011.655995693814,43898.923377559855,669.9059995476654,26159545.49399135,450.5919860261029,25011.655995693814,47149.48181608774,681.8562992757119,26159545.49399135,450.5919860261029,25011.655995693814,53566.51596585521,732.4173643214414,26021239.019333158,561.3461778627214,18135.04709294889,1226.8715867640283,100094.769074135,529.7227182974078,3.359620868383755,12784.323985826848,19.36767168423065,3788.462343487275,1009.8107527847484,318.95962913421016,10304.421982744827,1226.8715867640283,100094.769074135,300.99102556538264,1.908952921513082,7264.11508273977,11.004805272061773,2152.6227339221864,573.7793823239114,242.38654872851149,7830.625110204071,1226.8715867640283,100094.769074135,228.73169273202515,1.4506679468706734,5520.208903087079,8.36286641216888,1635.8396095650885,436.0313704608371,318.95962913421016,10304.421982744827,606.753928244809,100051.9635700293,300.99102556538264,1.908952921513082,7264.11508273977,11.004805272061773,2152.6227339221864,573.7793823239114,242.38654872851149,7830.625110204071,809.1614650943977,100085.45900583446,228.73169273202515,1.4506679468706734,5520.208903087079,8.36286641216888,1635.8396095650885,436.0313704608371,561.3461778627214,18135.047092948895,695.5794124305374,100051.96357002184,529.7227182974078,3.3596208683837556,12784.323985826848,19.36767168423065,3788.462343487275,1009.8107527847485,450.5920040413829,25011.656995693815,53566.51474617536,732.4173506144235,26021239.019333225,450.5919860261029,25011.655995693814,53566.51596585521,732.4173643214414,26021239.019333158,450.5919860261029,25011.655995693814,47149.48181608774,681.8562992757119,26159545.49399135,450.5919860261029,25011.655995693814,38950.18630320156,662.5282582424848,26293454.752195995,382.55933492560007,21235.27,54237.412974410894,587.4267227048203,3677172.33638,382.55933492560007,21235.27,65366.67095521118,849.9626302611124,3218108.995585957,450.5919860261029,25011.655995693814,43898.923377559855,669.9059995476654,26159545.49399135,450.5919860261029,25011.655995693814,14643.161362217024,461.489585793908,26922364.949556664,450.5919860261029,25011.655995693814,19810.84723402411,525.7407152751275,26293454.752195995,561.3461778627214,18135.04709294889,1449.104922335719,100145,529.7227182974078,3.359620868383755,12784.323985826848,19.36767168423065,3788.462343487275,1009.8107527847484,48.562336354388364,1.2371294719116581,optimal,11.0,527500000.0
149,444.1782615174882,24655.64018530315,19707.609807793953,524.5070459720645,26295033.51419513,444.1782615174882,24655.64018530315,39224.1241898178,662.8351428765257,26295033.51419513,444.1782615174882,24655.64018530315,44781.50624913001,672.4238534671526,26161173.465850845,444.1782615174882,24655.64018530315,48100.840625132434,686.9400596043733,26161173.465850845,444.1782615174882,24655.64018530315,54187.330830650724,739.598661182949,26022940.21527152,566.3959586651235,18297.348089841882,1246.096740631943,100144.99998763403,539.2770222013838,3.4202164170924227,12893.709802644991,19.716995235575265,3822.38556204719,1018.8384912956476,334.85395703471204,10817.413714541666,1246.096740631943,100144.99998763403,318.8212098963738,2.022035969108362,7622.7764026572395,11.656710777081225,2259.7988406915993,602.3385145502646,231.54200163041156,7479.934375300212,1246.096740631943,100144.99998763403,220.45581230501006,1.3981804479840607,5270.933399987751,8.060284458494037,1562.5867213555905,416.499976745383,334.85395703471204,10817.413714541666,593.5178073464456,100144.99996844871,318.8212098963738,2.022035969108362,7622.7764026572395,11.656710777081225,2259.7988406915993,602.3385145502646,231.54200163041156,7479.934375300212,760.3461482553133,100144.9999572972,220.45581230501006,1.3981804479840607,5270.933399987751,8.060284458494037,1562.5867213555905,416.499976745383,566.3959586651235,18297.348089841882,662.701356489642,100144.99946287874,539.2770222013838,3.4202164170924223,12893.709802644991,19.71699523557526,3822.3855620471895,1018.8384912956476,444.17827953276816,24655.64118530315,54187.32956817983,739.598646196573,26022940.21527158,444.1782615174882,24655.64018530315,54187.330830650724,739.598661182949,26022940.21527152,444.1782615174882,24655.64018530315,48100.840625132434,686.9400596043733,26161173.465850845,444.1782615174882,24655.64018530315,39224.1241898178,662.8351428765257,26295033.51419513,382.55933492560007,21235.27,53525.25471097452,572.6132982145105,3677172.33638,382.55933492560007,21235.27,65823.74154804734,861.1331539551016,3217356.6176620377,444.1782615174882,24655.64018530315,44781.50624913001,672.4238534671526,26161173.465850845,444.1782615174882,24655.64018530315,15083.848176253823,467.1279741863036,26923116.688984822,444.1782615174882,24655.64018530315,19707.609807793953,524.5070459720645,26295033.51419513,566.3959586651235,18297.348089841882,1451.7440494265772,100145,539.2770222013838,3.4202164170924227,12893.709802644991,19.716995235575265,3822.38556204719,1018.8384912956476,48.99970069083989,1.2371177661407842,optimal,11.0,527500000.0
150,453.3979900327302,25167.412886878814,20033.056925551886,528.3877491413742,26297778.477566466,453.3979900327302,25167.412886878814,39019.8744006752,662.6191954544344,26297778.477566466,453.3979900327302,25167.412886878814,43779.60348749384,669.6246436238603,26164666.55467028,453.3979900327302,25167.412886878814,47002.645119859655,681.1665129104491,26164666.55467028,453.3979900327302,25167.412886878814,52982.24126174138,726.0542009844561,26027196.607815366,559.8289415531013,18086.547471195005,1239.4434062958092,99897.73474075412,526.7823372887965,3.3409723093238735,12751.89604628495,19.260165753232695,3777.9603825867193,1007.3075669719799,321.1070420234435,10374.093455725959,1239.4434062958092,99897.73474075412,302.1521496329387,1.9163170320437417,7314.240682615026,11.047258179872417,2166.9649303386536,577.7721179274253,238.72189952965786,7712.454015469045,1239.4434062958092,99897.73474075412,224.63018765585778,1.4246552772801317,5437.6553636699255,8.21290757336028,1610.9954522480662,429.5354490445546,321.1070420234435,10374.093455725959,599.5702124948547,99788.84298991702,302.1521496329387,1.9163170320437417,7314.240682615026,11.047258179872417,2166.9649303386536,577.7721179274253,238.72189952965786,7712.454015469045,830.3276302374476,99888.42467416209,224.63018765585778,1.4246552772801317,5437.6553636699255,8.21290757336028,1610.9954522480662,429.5354490445546,559.8289415531013,18086.547471195005,699.807254214357,99788.84298991451,526.7823372887965,3.340972309323874,12751.89604628495,19.260165753232698,3777.9603825867193,1007.3075669719798,453.3980080480102,25167.413886878814,52982.24007282543,726.0541883400335,26027196.607815392,453.3979900327302,25167.412886878814,52982.24126174138,726.0542009844561,26027196.607815366,453.3979900327302,25167.412886878814,47002.645119859655,681.1665129104491,26164666.55467028,453.3979900327302,25167.412886878814,39019.8744006752,662.6191954544344,26297778.477566466,382.55933492560007,21235.27,53865.425963815156,579.6127538329332,3677172.33638,382.55933492560007,21235.27,65430.84177439193,851.5576323449928,3224845.2173425662,453.3979900327302,25167.412886878814,43779.60348749384,669.6246436238603,26164666.55467028,453.3979900327302,25167.412886878814,14959.638978949282,465.54137057746516,26922043.0487869,453.3979900327302,25167.412886878814,20033.056925551886,528.3877491413742,26297778.477566466,559.8289415531013,18086.547471195005,1448.2180848033993,100145,526.7823372887965,3.3409723093238735,12751.89604628495,19.260165753232695,3777.9603825867193,1007.3075669719799,48.42227542692181,1.2373719699403924,optimal,9.0,517500000.0
151,434.777403999192,24133.81329622365,19824.527068463936,525.903826403636,26298738.608653393,434.777403999192,24133.81329622365,39403.49979141167,663.0456539148586,26298738.608653393,434.777403999192,24133.81329622365,44226.17252035339,670.8054030260771,26165127.427246246,434.777403999192,24133.81329622365,47539.59977685674,683.868079673123,26165127.427246246,434.777403999192,24133.81329622365,53553.49821856273,732.297752203503,26027115.243664827,549.0539975123348,17740.085399657997,1237.1323187589749,100144.99998377153,506.7661462790198,3.214025114689405,12517.935686022336,18.528335679770464,3705.673776755352,987.9674298068309,314.3167003242775,10155.658881558595,1237.1323187589749,100144.99998377153,290.10819273908453,1.8399315429551106,7166.137133194567,10.606908172515867,2121.385436159726,565.5812797497462,234.7372971880573,7584.426518099405,1237.1323187589749,100144.99998377153,216.65795353993525,1.3740935717342944,5351.79855282777,7.921427507254597,1584.288340595626,422.3861500570847,314.3167003242775,10155.658881558595,599.8508793175637,100144.99995119275,290.10819273908453,1.8399315429551106,7166.137133194567,10.606908172515867,2121.385436159726,565.5812797497462,234.7372971880573,7584.426518099405,832.9296445065294,100144.99995139451,216.65795353993525,1.3740935717342944,5351.79855282777,7.921427507254597,1584.288340595626,422.3861500570847,549.0539975123348,17740.085399657997,701.3721254521776,100144.99945129371,506.7661462790198,3.2140251146894054,12517.935686022336,18.528335679770464,3705.6737767553523,987.9674298068308,434.777422014472,24133.81429622365,53553.496955057664,732.2977380216381,26027115.24366479,434.777403999192,24133.81329622365,53553.49821856273,732.297752203503,26027115.243664827,434.777403999192,24133.81329622365,47539.59977685674,683.868079673123,26165127.427246246,434.777403999192,24133.81329622365,39403.49979141167,663.0456539148586,26298738.608653393,382.55933492560007,21235.27,53951.07647703087,581.3976550691705,3677172.33638,382.55933492560007,21235.27,65224.474589483674,846.5126922023825,3225892.196115998,434.777403999192,24133.81329622365,44226.17252035339,670.8054030260771,26165127.427246246,434.777403999192,24133.81329622365,14360.625912426258,457.8617995337816,26923614.90995663,434.777403999192,24133.81329622365,19824.527068463936,525.903826403636,26298738.608653393,549.0539975123348,17740.085399657997,1442.5233434398149,100145,506.7661462790198,3.214025114689405,12517.935686022336,18.528335679770464,3705.673776755352,987.9674298068309,47.49211929270687,1.2373164055629968,optimal,10.0,522500000.0
152,453.2658842177381,25160.07989982604,19821.815362836605,525.8714882910971,26297938.2123724,453.2658842177381,25160.07989982604,38939.28602387724,662.5307946474577,26297938.2123724,453.2658842177381,25160.07989982604,44319.409724860285,671.0716689812928,26166294.45312857,453.2658842177381,25160.07989982604,47570.530321196755,684.036634582487,26166294.45312857,453.2658842177381,25160.07989982604,53938.979819690496,736.7154120358698,26030433.24747804,565.867992584199,18280.21973556331,1231.5292818405676,100051.81553005576,538.3263191952685,3.4141868443581322,12882.003848261162,19.682235722615662,3819.0237145398646,1017.7694310000439,327.83040653159,10590.47683546937,1231.5292818405676,100051.81553005576,311.87439187449854,1.9779776835393195,7463.070210475949,11.402721876755756,2212.5161933506865,589.6353402079419,238.03758605260904,7689.74290009394,1231.5292818405676,100051.81553005576,226.45192732077004,1.4362091608188128,5418.933637785211,8.279513845859908,1606.5075211891783,428.13409079210203,327.83040653159,10590.47683546937,607.1126401219071,99984.77494823468,311.87439187449854,1.9779776835393195,7463.070210475949,11.402721876755756,2212.5161933506865,589.6353402079419,238.03758605260904,7689.74290009394,764.3347979085326,100042.50546212701,226.45192732077004,1.4362091608188128,5418.933637785211,8.279513845859908,1606.5075211891783,428.13409079210203,565.867992584199,18280.21973556331,674.1233827564563,99984.77494823035,538.3263191952685,3.4141868443581322,12882.003848261162,19.682235722615665,3819.0237145398646,1017.769431000044,453.2659022330181,25160.08089982604,53938.97859240199,736.7153977773837,26030433.247478064,453.2658842177381,25160.07989982604,53938.979819690496,736.7154120358698,26030433.24747804,453.2658842177381,25160.07989982604,47570.530321196755,684.036634582487,26166294.45312857,453.2658842177381,25160.07989982604,38939.28602387724,662.5307946474577,26297938.2123724,382.55933492560007,21235.27,54232.365407151876,587.3196407448663,3677172.33638,382.55933492560007,21235.27,65755.92723185146,859.5023117183744,3224416.248991243,453.2658842177381,25160.07989982604,44319.409724860285,671.0716689812928,26166294.45312857,453.2658842177381,25160.07989982604,15060.604584867055,466.83118616102473,26923208.710663594,453.2658842177381,25160.07989982604,19821.815362836605,525.8714882910971,26297938.2123724,565.867992584199,18280.21973556331,1451.522344873573,100145,538.3263191952685,3.4141868443581322,12882.003848261162,19.682235722615662,3819.0237145398646,1017.7694310000439,48.95914928241783,1.2369776156094023,optimal,9.0,517500000.0
153,421.59276346967926,23401.95453357812,20441.976639250588,533.2295487831456,26298133.710177835,421.59276346967926,23401.95453357812,40601.214367580156,664.444575442947,26298133.710177835,421.59276346967926,23401.95453357812,45666.76305286409,675.474469714718,26164571.814231608,421.59276346967926,23401.95453357812,49076.90851738493,693.0166489609414,26164571.814231608,421.59276346967926,23401.95453357812,54862.22980031588,747.8548146277562,26026605.42021253,547.6561022706704,17695.260588131674,1249.8025465283206,100144.99993475247,504.15696869180925,3.1974771223746967,12487.768464490457,18.432939176789873,3696.145918700913,985.5588199493321,319.05294276488394,10308.88716518778,1249.8025465283206,100144.99993475247,293.7112611538985,1.86278301490166,7275.11162688193,10.738643217480956,2153.2969821033926,574.1658688161773,228.60315950578655,7386.373422943895,1249.8025465283206,100144.99993475247,210.4457075379108,1.3346941074730367,5212.656837608527,7.694295959308917,1542.8489365975204,411.39295113315484,319.05294276488394,10308.88716518778,608.675961843134,100144.99980544028,293.7112611538985,1.86278301490166,7275.11162688193,10.738643217480956,2153.2969821033926,574.1658688161773,228.60315950578655,7386.373422943895,827.2971255976316,100144.99980271887,210.4457075379108,1.3346941074730367,5212.656837608527,7.694295959308917,1542.8489365975204,411.39295113315484,547.6561022706704,17695.260588131674,701.5693910264907,100144.99930414041,504.15696869180925,3.197477122374697,12487.768464490457,18.432939176789873,3696.1459187009127,985.5588199493321,421.59278148495923,23401.95553357812,54862.228441372696,747.8547975796226,26026605.420212496,421.59276346967926,23401.95453357812,54862.22980031588,747.8548146277562,26026605.42021253,421.59276346967926,23401.95453357812,49076.90851738493,693.0166489609414,26164571.814231608,421.59276346967926,23401.95453357812,40601.214367580156,664.444575442947,26298133.710177835,382.55933492560007,21235.27,54358.265976390496,589.9988529774067,3677172.33638,382.55933492560007,21235.27,65897.20575282586,862.9509450076813,3223900.335486176,421.59276346967926,23401.95453357812,45666.76305286409,675.474469714718,26164571.814231608,421.59276346967926,23401.95453357812,14827.603765514123,463.8525681707432,26921496.704610474,421.59276346967926,23401.95453357812,20441.976639250588,533.2295487831456,26298133.710177835,547.6561022706704,17695.260588131674,1441.7330340906035,100145,504.15696869180925,3.1974771223746967,12487.768464490457,18.432939176789873,3696.145918700913,985.5588199493321,47.36728290443053,1.2374265678370355,optimal,10.0,522500000.0
